Year,Month,Day,Date,Weekday,Holiday,Temperature,Rainfall,Demand
2020,1,1,1/1/2020,WEDNESDAY,TRUE,17.9,0.0,1189
2020,1,2,2/1/2020,THURSDAY,FALSE,18.3,0.0,2993
2020,1,3,3/1/2020,FRIDAY,FALSE,18.9,0.0,3348
2020,1,4,4/1/2020,SATURDAY,FALSE,19.2,0.0,2472
2020,1,5,5/1/2020,SUNDAY,FALSE,20.0,0.0,1074
2020,1,6,6/1/2020,MONDAY,FALSE,21.0,0.0,2560
2020,1,7,7/1/2020,TUESDAY,FALSE,22.4,0.0,3274
2020,1,8,8/1/2020,WEDNESDAY,FALSE,21.9,0.0,3057
2020,1,9,9/1/2020,THURSDAY,FALSE,19.3,0.0,3290
2020,1,10,10/1/2020,FRIDAY,FALSE,19.9,0.0,2977
2020,1,11,11/1/2020,SATURDAY,FALSE,20.9,0.0,1785
2020,1,12,12/1/2020,SUNDAY,FALSE,17.9,0.0,942
2020,1,13,13/1/2020,MONDAY,FALSE,18.3,0.0,3131
2020,1,14,14/1/2020,TUESDAY,FALSE,19.0,0.0,3052
2020,1,15,15/1/2020,WEDNESDAY,FALSE,19.5,0.1,3349
2020,1,16,16/1/2020,THURSDAY,FALSE,19.8,0.0,3275
2020,1,17,17/1/2020,FRIDAY,FALSE,18.5,0.0,3453
2020,1,18,18/1/2020,SATURDAY,FALSE,18.3,0.0,2640
2020,1,19,19/1/2020,SUNDAY,FALSE,18.2,0.0,842
2020,1,20,20/1/2020,MONDAY,FALSE,18.0,0.0,2606
2020,1,21,21/1/2020,TUESDAY,FALSE,18.8,0.0,3372
2020,1,22,22/1/2020,WEDNESDAY,FALSE,20.5,0.0,3551
2020,1,23,23/1/2020,THURSDAY,FALSE,21.9,0.0,2947
2020,1,24,24/1/2020,FRIDAY,FALSE,21.5,0.0,2533
2020,1,25,25/1/2020,SATURDAY,TRUE,19.7,2.1,829
2020,1,26,26/1/2020,SUNDAY,FALSE,16.5,12.3,1039
2020,1,27,27/1/2020,MONDAY,TRUE,13.0,0.2,902
2020,1,28,28/1/2020,TUESDAY,TRUE,13.0,0.1,979
2020,1,29,29/1/2020,WEDNESDAY,FALSE,13.8,0.0,3400
2020,1,30,30/1/2020,THURSDAY,FALSE,14.7,0.0,2942
2020,1,31,31/1/2020,FRIDAY,FALSE,14.8,0.0,3562
2020,2,1,1/2/2020,SATURDAY,FALSE,16.0,0.0,1715
2020,2,2,2/2/2020,SUNDAY,FALSE,17.1,0.0,1045
2020,2,3,3/2/2020,MONDAY,FALSE,18.1,0.0,3612
2020,2,4,4/2/2020,TUESDAY,FALSE,17.3,0.8,3334
2020,2,5,5/2/2020,WEDNESDAY,FALSE,17.5,1.0,2879
2020,2,6,6/2/2020,THURSDAY,FALSE,17.1,0.0,3367
2020,2,7,7/2/2020,FRIDAY,FALSE,18.7,0.0,3352
2020,2,8,8/2/2020,SATURDAY,FALSE,17.8,0.0,2269
2020,2,9,9/2/2020,SUNDAY,FALSE,16.5,0.0,817
2020,2,10,10/2/2020,MONDAY,FALSE,16.9,0.0,3159
2020,2,11,11/2/2020,TUESDAY,FALSE,17.6,0.8,2407
2020,2,12,12/2/2020,WEDNESDAY,FALSE,20.6,0.0,3141
2020,2,13,13/2/2020,THURSDAY,FALSE,19.6,41.6,3759
2020,2,14,14/2/2020,FRIDAY,FALSE,20.4,9.7,4900
2020,2,15,15/2/2020,SATURDAY,FALSE,21.0,0.0,1582
2020,2,16,16/2/2020,SUNDAY,FALSE,14.2,25.5,1463
2020,2,17,17/2/2020,MONDAY,FALSE,13.6,0.0,3081
2020,2,18,18/2/2020,TUESDAY,FALSE,14.7,0.0,3497
2020,2,19,19/2/2020,WEDNESDAY,FALSE,16.3,0.0,2738
2020,2,20,20/2/2020,THURSDAY,FALSE,17.7,0.0,3494
2020,2,21,21/2/2020,FRIDAY,FALSE,18.9,0.0,3522
2020,2,22,22/2/2020,SATURDAY,FALSE,20.1,0.0,2144
2020,2,23,23/2/2020,SUNDAY,FALSE,19.4,0.0,875
2020,2,24,24/2/2020,MONDAY,FALSE,19.6,0.0,3279
2020,2,25,25/2/2020,TUESDAY,FALSE,21.8,0.0,3422
2020,2,26,26/2/2020,WEDNESDAY,FALSE,23.3,0.0,2914
2020,2,27,27/2/2020,THURSDAY,FALSE,20.5,0.4,3570
2020,2,28,28/2/2020,FRIDAY,FALSE,20.8,0.0,2814
2020,2,29,29/2/2020,SATURDAY,FALSE,22.5,0.0,1688
2020,3,1,1/3/2020,SUNDAY,FALSE,22.8,0.0,928
2020,3,2,2/3/2020,MONDAY,FALSE,20.1,0.0,2483
2020,3,3,3/3/2020,TUESDAY,FALSE,19.4,0.0,3226
2020,3,4,4/3/2020,WEDNESDAY,FALSE,19.9,3.1,3008
2020,3,5,5/3/2020,THURSDAY,FALSE,18.2,0.4,3245
2020,3,6,6/3/2020,FRIDAY,FALSE,18.3,0.0,3478
2020,3,7,7/3/2020,SATURDAY,FALSE,20.6,0.0,1700
2020,3,8,8/3/2020,SUNDAY,FALSE,22.1,0.0,994
